Date,Price
7/13/2020,2723.263184
7/14/2020,2714.450195
7/15/2020,2723.263184
7/16/2020,2732.076416
7/17/2020,2696.82373
7/20/2020,2696.82373
7/21/2020,2696.82373
7/22/2020,2705.636963
7/23/2020,2705.636963
7/24/2020,2661.571289
7/27/2020,2679.19751
7/28/2020,2661.571289
7/29/2020,2643.945068
7/30/2020,2688.010742
8/3/2020,2573.439697
8/4/2020,2599.87915
8/5/2020,2661.571289
8/6/2020,2661.571289
8/7/2020,2626.318604
8/10/2020,2617.505615
8/11/2020,2582.252686
8/12/2020,2599.87915
8/13/2020,2652.758057
8/14/2020,2670.384277
8/18/2020,2688.010742
8/19/2020,2643.945068
8/24/2020,2643.945068
8/25/2020,2626.318604
8/26/2020,2661.571289
8/27/2020,2635.131592
8/28/2020,2608.692383
8/31/2020,2520.561035
9/1/2020,2555.813232
9/2/2020,2599.87915
9/3/2020,2555.813232
9/4/2020,2520.561035
9/7/2020,2555.813232
9/8/2020,2520.561035
9/9/2020,2467.681885
9/10/2020,2379.550537
9/11/2020,2476.495117
9/14/2020,2547.000244
9/15/2020,2494.121338
9/16/2020,2458.868652
9/17/2020,2485.30835
9/18/2020,2547.000244
9/21/2020,2476.495117
9/22/2020,2450.055664
9/23/2020,2467.681885
9/24/2020,2405.989746
9/25/2020,2370.737305
9/28/2020,2344.297852
9/29/2020,2317.858154
9/30/2020,2256.166504
10/1/2020,2423.616211
10/2/2020,2361.923828
10/5/2020,2335.484619
10/6/2020,2335.484619
10/7/2020,2344.297852
10/8/2020,2379.550537
10/9/2020,2405.989746
10/12/2020,2405.989746
10/13/2020,2405.989746
10/14/2020,2476.495117
10/15/2020,2450.055664
10/16/2020,2423.616211
10/19/2020,2388.363525
10/20/2020,2353.111084
10/21/2020,2361.923828
10/22/2020,2379.550537
10/23/2020,2317.858154
10/26/2020,2335.484619
10/27/2020,2309.04541
11/2/2020,2256.166504
11/3/2020,2273.79248
11/4/2020,2273.79248
11/5/2020,2441.242432
11/6/2020,2494.121338
11/9/2020,2538.187012
11/10/2020,2520.561035
11/11/2020,2714.450195
11/12/2020,2679.19751
11/13/2020,2635.131592
11/16/2020,2705.636963
11/17/2020,2837.834229
11/18/2020,2802.581787
11/19/2020,2793.768555
11/20/2020,2837.834229
11/23/2020,2925.96582
11/24/2020,2952.405273
11/25/2020,2890.713135
11/26/2020,3058.162842
11/27/2020,3049.349854
11/30/2020,2846.647461
12/1/2020,2855.460449
12/2/2020,2934.778809
12/3/2020,2908.339355
12/4/2020,2864.273438
12/7/2020,2934.778809
12/8/2020,2908.339355
12/10/2020,2873.086914
12/11/2020,2890.713135
12/14/2020,2925.96582
12/15/2020,3040.536621
12/16/2020,3181.546875
12/17/2020,3119.855225
12/18/2020,3093.415527
12/21/2020,3102.228516
12/22/2020,2961.218262
12/23/2020,2925.96582
12/28/2020,3022.9104
12/29/2020,3014.097168
12/30/2020,2917.152588
1/4/2021,3075.789307
1/5/2021,3058.162842
1/6/2021,2970.031494
1/7/2021,2987.657715
1/8/2021,3146.294678
1/11/2021,3172.733643
1/12/2021,3093.415527
1/13/2021,3066.976318
1/14/2021,3084.602295
1/15/2021,3066.976318
1/18/2021,3040.536621
1/19/2021,3005.283936
1/20/2021,3058.162842
1/21/2021,3066.976318
1/22/2021,2987.657715
1/25/2021,2970.031494
1/26/2021,2873.086914
1/27/2021,2978.844727
1/28/2021,2855.460449
1/29/2021,2740.889404
2/1/2021,2846.647461
2/2/2021,2881.900146
2/3/2021,2855.460449
2/4/2021,2899.526123
2/5/2021,2899.526123
2/8/2021,2890.713135
2/9/2021,2820.207764
2/10/2021,2811.394775
2/11/2021,2811.394775
2/15/2021,2837.834229
2/16/2021,2829.020996
2/17/2021,2776.14209
2/18/2021,2802.581787
2/19/2021,2829.020996
2/22/2021,2793.768555
2/23/2021,3058.162842
2/24/2021,3066.976318
2/25/2021,3075.789307
2/26/2021,3075.789307
3/1/2021,3075.789307
3/2/2021,3049.349854
3/3/2021,3031.723389
3/4/2021,2961.218262
3/5/2021,2925.96582
3/8/2021,2943.591797
3/9/2021,2899.526123
3/10/2021,2996.470947
3/12/2021,3040.536621
3/15/2021,2978.844727
3/16/2021,2961.218262
3/17/2021,2987.657715
3/18/2021,3040.536621
3/19/2021,3031.723389
3/22/2021,2978.844727
3/23/2021,2961.218262
3/24/2021,2970.031494
3/25/2021,3005.283936
3/26/2021,3075.789307
3/29/2021,3005.283936
3/30/2021,2978.844727
3/31/2021,3014.097168
4/1/2021,2987.657715
4/5/2021,2978.844727
4/6/2021,2970.031494
4/7/2021,2996.470947
4/8/2021,2987.657715
4/9/2021,2961.218262
4/12/2021,2917.152588
4/13/2021,2934.778809
4/14/2021,2943.591797
4/15/2021,2961.218262
4/16/2021,2961.218262
4/19/2021,2943.591797
4/20/2021,2925.96582
4/21/2021,2890.713135
4/22/2021,2934.778809
4/23/2021,2917.152588
4/26/2021,2864.273438
4/27/2021,2784.955322
4/28/2021,2767.328857
4/29/2021,2820.207764
4/30/2021,2820.207764
5/3/2021,2793.768555
5/4/2021,2829.020996
5/5/2021,2820.207764
5/6/2021,2811.394775
5/7/2021,2811.394775
5/10/2021,2793.768555
5/11/2021,2802.581787
5/17/2021,2811.394775
5/18/2021,2802.581787
5/19/2021,2784.955322
5/20/2021,2917.152588
5/21/2021,2881.900146
5/24/2021,2873.086914
5/25/2021,2908.339355
5/27/2021,2978.844727
5/28/2021,2881.900146
5/31/2021,3031.723389
6/2/2021,3040.536621
6/3/2021,3075.789307
6/4/2021,3084.602295
6/7/2021,3128.667969
6/8/2021,3084.602295
6/9/2021,3138.305176
6/10/2021,3221.623047
6/11/2021,3212.365723
6/14/2021,3156.820557
6/15/2021,3184.593018
6/16/2021,3156.820557
6/17/2021,3101.275146
6/18/2021,3101.275146
6/21/2021,3054.987549
6/22/2021,3054.987549
6/23/2021,3119.790039
6/24/2021,3008.699951
6/25/2021,3008.699951
6/28/2021,2934.639404
6/29/2021,2925.381836
6/30/2021,2916.124268
7/1/2021,2879.094238
7/2/2021,2842.064209
7/5/2021,2814.291504
7/6/2021,2786.518799
7/7/2021,2805.033936
7/8/2021,2786.518799
7/9/2021,2925.381836
7/12/2021,2897.609375
7/13/2021,2842.064209
7/14/2021,2832.806641
7/15/2021,2897.609375
7/16/2021,2934.639404
7/19/2021,2980.927246
7/21/2021,2971.669434
7/22/2021,3017.957275
7/23/2021,2934.639404
7/26/2021,2953.154541
7/27/2021,3027.214844
7/28/2021,2953.154541
7/29/2021,2990.184814
7/30/2021,2999.442383
8/2/2021,3064.245117
8/3/2021,3082.76001
8/4/2021,3119.790039
8/5/2021,3092.017578
8/6/2021,3073.502441
8/9/2021,3008.699951
8/10/2021,2990.184814
8/12/2021,3101.275146
8/13/2021,3054.987549
8/16/2021,3092.017578
8/18/2021,3166.078125
8/19/2021,3138.305176
8/20/2021,3147.562988
8/23/2021,3184.593018
8/24/2021,3147.562988
8/25/2021,3119.790039
8/26/2021,3110.532715
8/27/2021,3073.502441
8/30/2021,3147.562988
8/31/2021,3147.562988
9/1/2021,3092.017578
9/2/2021,3119.790039
9/3/2021,3138.305176
9/6/2021,3138.305176
9/7/2021,3129.047607
9/8/2021,3082.76001
9/9/2021,3138.305176
9/10/2021,3082.76001
9/13/2021,3101.275146
9/14/2021,3184.593018
9/15/2021,3193.850586
9/16/2021,3184.593018
9/17/2021,3267.910889
9/20/2021,3258.65332
9/21/2021,3267.910889
9/22/2021,3323.456055
9/23/2021,3295.68335
9/24/2021,3295.68335
9/27/2021,3258.65332
9/28/2021,3267.910889
9/29/2021,3267.910889
9/30/2021,3416.031494
10/1/2021,3388.258789
10/4/2021,3397.516357
10/5/2021,3397.516357
10/6/2021,3480.833984
10/7/2021,3443.803955
10/8/2021,3517.864502
10/11/2021,3527.12207
10/12/2021,3499.349365
10/13/2021,3490.091797
10/14/2021,3545.636963
10/15/2021,3527.12207
10/18/2021,3508.606934
10/19/2021,3462.319092
10/21/2021,3564.1521
10/22/2021,3582.666992
10/25/2021,3499.349365
10/26/2021,3517.864502
10/27/2021,3508.606934
10/28/2021,3471.57666
10/29/2021,3517.864502
11/1/2021,3425.289063
11/2/2021,3388.258789
11/3/2021,3443.803955
11/4/2021,3490.091797
11/5/2021,3490.091797
11/8/2021,3471.57666
11/9/2021,3434.546387
11/10/2021,3425.289063
11/11/2021,3379.001221
11/12/2021,3332.713623
11/15/2021,3332.713623
11/16/2021,3397.516357
11/17/2021,3360.486328
11/18/2021,3360.486328
11/19/2021,3610.439697
11/22/2021,3517.864502
11/23/2021,3517.864502
11/24/2021,3517.864502
11/25/2021,3703.015137
11/26/2021,3712.272705
11/29/2021,3832.62085
11/30/2021,3693.757568
12/1/2021,3777.075439
12/2/2021,3851.135742
12/3/2021,3767.817871
12/6/2021,3860.393311
12/7/2021,3841.878174
12/8/2021,3786.333008
12/9/2021,3841.878174
12/10/2021,3841.878174
12/13/2021,3777.075439
12/14/2021,3795.590332
12/15/2021,3777.075439
12/16/2021,3795.590332
12/17/2021,3795.590332
12/20/2021,3777.075439
12/21/2021,3851.135742
12/22/2021,3804.8479
12/23/2021,3851.135742
12/24/2021,3804.8479
12/27/2021,3777.075439
12/28/2021,3786.333008
12/29/2021,3777.075439
12/30/2021,3740.045166
1/3/2022,3869.650879
1/4/2022,3860.393311
1/5/2022,3749.302734
1/6/2022,3814.105469
1/7/2022,3860.393311
1/10/2022,3795.590332
1/11/2022,3786.333008
1/12/2022,3804.8479
1/13/2022,3869.650879
1/14/2022,3878.908447
1/17/2022,3869.650879
1/18/2022,3934.453613
1/19/2022,3934.453613
1/20/2022,3906.680908
1/21/2022,4008.513916
1/24/2022,3980.740967
1/25/2022,3971.483398
1/26/2022,4064.059326
1/27/2022,3952.96875
1/28/2022,3943.710938
1/31/2022,3878.908447
2/2/2022,3860.393311
2/3/2022,3888.166016
2/4/2022,3915.938477
2/7/2022,3971.483398
2/8/2022,3915.938477
2/9/2022,3962.226318
2/10/2022,4128.861816
2/11/2022,4119.604492
2/14/2022,4073.316406
2/15/2022,4082.573975
2/16/2022,4073.316406
2/17/2022,4082.573975
2/18/2022,4073.316406
2/21/2022,4045.544189
2/22/2022,3980.740967
2/23/2022,4027.029053
2/24/2022,3925.196045
2/25/2022,4017.771484
3/1/2022,4027.029053
3/2/2022,3971.483398
3/4/2022,4073.316406
3/7/2022,4175.149414
3/8/2022,4276.982422
3/9/2022,4110.34668
3/10/2022,4082.573975
3/11/2022,4249.209961
3/14/2022,4239.952148
3/15/2022,4276.982422
3/16/2022,4286.239746
3/17/2022,4147.376953
3/18/2022,4202.921875
3/21/2022,4212.179688
3/22/2022,4212.179688
3/23/2022,4212.179688
3/24/2022,4221.437012
3/25/2022,4184.406738
3/28/2022,4258.467773
3/29/2022,4221.437012
3/30/2022,4239.952148
3/31/2022,4239.952148
4/1/2022,4239.952148
4/4/2022,4202.921875
4/5/2022,4184.406738
4/6/2022,4101.089355
4/7/2022,4202.921875
4/8/2022,4239.952148
4/11/2022,4249.209961
4/12/2022,4286.239746
4/13/2022,4341.785156
4/14/2022,4332.527832
4/18/2022,4360.300293
4/19/2022,4332.527832
4/20/2022,4286.239746
4/21/2022,4276.982422
4/22/2022,4276.982422
4/25/2022,4360.300293
4/26/2022,4406.587891
4/27/2022,4415.845215
4/28/2022,4276.982422
5/9/2022,3989.998535
5/10/2022,4017.771484
5/11/2022,4008.513916
5/12/2022,3980.740967
5/13/2022,3943.710938
5/17/2022,3869.650879
5/18/2022,3934.453613
5/19/2022,3897.42334
5/20/2022,3860.393311
5/23/2022,3804.8479
5/24/2022,3841.878174
5/25/2022,3888.166016
5/27/2022,3980.740967
5/30/2022,3934.453613
5/31/2022,3989.998535
6/2/2022,3971.483398
6/3/2022,3989.998535
6/6/2022,4017.771484
6/7/2022,3934.453613
6/8/2022,3934.42041
6/9/2022,3886.439697
6/10/2022,3857.651367
6/13/2022,3915.228271
6/14/2022,3944.016602
6/15/2022,3896.035889
6/16/2022,3876.843506
6/17/2022,3953.612793
6/20/2022,3876.843506
6/21/2022,3944.016602
6/22/2022,3886.439697
6/23/2022,3991.997314
6/24/2022,3982.401123
6/27/2022,3905.63208
6/28/2022,3867.247559
6/29/2022,3876.843506
6/30/2022,3838.458984
7/1/2022,3857.651367
7/4/2022,3828.862793
7/5/2022,3828.862793
7/6/2022,3857.651367
7/7/2022,3876.843506
7/8/2022,3848.055176
7/11/2022,3876.843506
7/12/2022,3848.055176
7/13/2022,3780.88208
7/14/2022,3857.651367
7/15/2022,3982.401123
7/18/2022,4020.785889
7/19/2022,3991.997314
7/20/2022,4039.978027
7/21/2022,4087.95874
7/22/2022,4059.17041
7/25/2022,4068.766602
7/26/2022,4078.362793
7/27/2022,4126.343262
7/28/2022,4068.766602
7/29/2022,4059.17041
8/1/2022,4126.343262
8/2/2022,4270.285645
8/3/2022,4318.266602
8/4/2022,4366.24707
8/5/2022,4462.208496
8/8/2022,4510.189453
8/9/2022,4452.612305
8/10/2022,4375.843262
8/11/2022,4385.439453
8/12/2022,4366.24707
8/15/2022,4270.285645
8/16/2022,4231.900879
8/18/2022,4366.24707
8/19/2022,4414.228027
8/22/2022,4462.208496
8/23/2022,4471.804688
8/24/2022,4558.169922
8/25/2022,4385.439453
8/26/2022,4308.67041
8/29/2022,4337.458496
8/30/2022,4299.074219
8/31/2022,4375.843262
9/1/2022,4395.035645
9/2/2022,4414.228027
9/5/2022,4433.419922
9/6/2022,4327.862305
9/7/2022,4308.67041
9/8/2022,4375.843262
9/9/2022,4414.228027
9/12/2022,4356.650879
9/13/2022,4337.458496
9/14/2022,4299.074219
9/15/2022,4318.266602
9/16/2022,4231.900879
9/19/2022,4318.266602
9/20/2022,4299.074219
9/21/2022,4251.093262
9/22/2022,4251.093262
9/23/2022,4203.112793
9/26/2022,4279.881836
9/27/2022,4260.689453
9/28/2022,4289.478027
9/29/2022,4260.689453
9/30/2022,4279.881836
10/3/2022,4279.881836
10/4/2022,4260.689453
10/5/2022,4279.881836
10/6/2022,4251.093262
10/7/2022,4174.324219
10/10/2022,4241.49707
10/11/2022,4135.939453
10/12/2022,4164.728027
10/13/2022,4126.343262
10/14/2022,4116.74707
10/17/2022,4155.131836
10/18/2022,4078.362793
10/19/2022,4030.38208
10/20/2022,4174.324219
10/21/2022,4183.92041
10/24/2022,4231.900879
10/25/2022,4212.708984
10/26/2022,4193.516602
10/27/2022,4193.516602
10/28/2022,4270.285645
10/31/2022,4212.708984
11/1/2022,4241.49707
11/2/2022,4049.574219
11/3/2022,3963.208984
11/4/2022,4039.978027
11/7/2022,4107.151367
11/8/2022,4049.574219
11/9/2022,4020.785889
11/10/2022,4001.593506
11/11/2022,3982.401123
11/14/2022,3886.439697
11/15/2022,3886.439697
11/16/2022,3886.439697
11/17/2022,3876.843506
11/18/2022,3848.055176
11/21/2022,3867.247559
11/22/2022,3838.458984
11/23/2022,3809.670654
11/24/2022,3867.247559
11/25/2022,3867.247559
11/28/2022,3819.266602
11/29/2022,3819.266602
11/30/2022,3876.843506
12/1/2022,3800.074463
12/2/2022,3838.458984
12/5/2022,3684.920654
12/6/2022,3454.613037
12/7/2022,3531.382324
12/8/2022,3588.959229
12/9/2022,3502.59375
12/12/2022,3550.574707
12/13/2022,3598.55542
12/14/2022,3598.55542
12/15/2022,3521.786133
12/16/2022,3531.382324
12/19/2022,3569.766846
12/20/2022,3569.766846
12/21/2022,3636.939941
12/22/2022,3598.55542
12/23/2022,3627.34375
12/26/2022,3598.55542
12/27/2022,3656.132324
12/28/2022,3579.363037
12/29/2022,3627.34375
12/30/2022,3598.55542
1/2/2023,3646.536133
1/3/2023,3704.113037
1/4/2023,3665.728271
1/5/2023,3617.747559
1/6/2023,3560.170654
1/9/2023,3636.939941
1/10/2023,3675.324463
1/11/2023,3713.708984
1/12/2023,3704.113037
1/13/2023,3627.34375
1/16/2023,3694.516846
1/17/2023,3790.478271
1/18/2023,3771.285889
1/19/2023,3732.901367
1/20/2023,3713.708984
1/24/2023,3694.516846
1/25/2023,3684.920654
1/26/2023,3809.670654
1/27/2023,3800.074463
1/30/2023,3800.074463
1/31/2023,3694.516846
2/1/2023,3713.708984
2/2/2023,3732.901367
2/3/2023,3723.305176
2/6/2023,3723.305176
2/7/2023,3646.536133
2/8/2023,3684.920654
2/9/2023,3617.747559
2/10/2023,3646.536133
2/13/2023,3636.939941
2/14/2023,3646.536133
2/15/2023,3636.939941
2/16/2023,3617.747559
2/17/2023,3608.151367
2/20/2023,3665.728271
2/21/2023,3684.920654
2/22/2023,3704.113037
2/23/2023,3809.670654
2/24/2023,3876.843506
2/27/2023,3800.074463
2/28/2023,3723.305176
3/1/2023,3771.285889
3/2/2023,3723.305176
3/3/2023,3742.497559
3/6/2023,3723.305176
3/7/2023,3723.305176
3/8/2023,3780.88208
3/9/2023,3809.670654
3/10/2023,3848.055176
3/13/2023,3905.63208
3/14/2023,3857.651367
3/15/2023,3848.055176
3/16/2023,3886.439697
3/17/2023,3886.439697
3/20/2023,3828.862793
3/21/2023,3953.612793
3/24/2023,3905.63208
3/27/2023,3886.439697
3/28/2023,3886.439697
3/29/2023,3934.42041
3/30/2023,3924.824463
3/31/2023,3896.035889
4/3/2023,3915.228271
4/4/2023,3896.035889
4/5/2023,3982.401123
4/6/2023,4078.362793
4/10/2023,4126.343262
4/11/2023,4126.343262
4/12/2023,4135.939453
4/13/2023,4164.728027
4/14/2023,4164.728027
4/17/2023,4097.555176
4/18/2023,4097.555176
4/26/2023,4222.304688
4/27/2023,4145.535645
4/28/2023,4078.362793
5/2/2023,4020.785889
5/3/2023,3982.401123
5/4/2023,3982.401123
5/5/2023,4001.593506
5/8/2023,3896.035889
5/9/2023,3905.63208
